"1296026","见鬼","26290","剧情","7.2","2002-05-09","2002"
"1296172","情欲写真","6965","剧情","7.1","2000-04-05","2000"
"1296215","步步危机","1395","剧情","6.2","2002-09-20","2002"
"1296226","F4沙胆妹","130","剧情","6.4","2002-01-11","2002"
"1296258","天地男儿之激进党员","121","动作","6","2000-04-29","2000"
"1296327","骇过阴阳线","52","剧情","5","2001-09-06","2001"
"1296367","驱魔人","467","剧情","5.7","2000-10-13","2000"
"1296441","玻璃屋","663","惊悚","6.6","2001-09-14","2001"
"1296448","尘土","348","剧情","7.6","2001-08-29","2001"
"1296451","飙风特警","91","剧情","6.3","2002-01-25","2001"
"1296468","童言有忌","230","剧情","7.7","2000-09-04","2000"
"1296483","追求幸福","72","喜剧","8.1","2002-05-08","2001"
"1296499","生命的证据","2947","剧情","7","2000-12-08","2000"
"1296508","婚礼专家","2235","喜剧","6.1","2001-01-26","2001"
"1296520","武士","3834","剧情","6.8","2001-09-07","2001"
"1296523","恶女上身","296","剧情","5.4","2002-09-06","2002"
"1296526","失魂落魄","161","剧情","5.9","2002-10-18","2002"
"1296535","幽灵船","27785","悬疑","6.8","2002-10-25","2002"
"1296574","发情日记","393","剧情","7.3","2002-08-08","2001"
"1296636","小马王","16360","爱情","8.6","2002-05-24","2002"
"1296709","蹦蹦猴","341","喜剧","6.6","2001-03-31","2001"
"1296736","钢琴家","298294","剧情","9.1","2002-05-24","2002"
"1296769","巴尔扎克与小裁缝","33699","剧情","7.9","2002-10-09","2002"
"1296785","小偷遇到贼","483","喜剧","6.5","2001-12-06","2001"
"1296867","大买卖","9920","动作","7.1","2001-07-09","2001"
"1296877","皇家俱乐部","1297","剧情","8.1","2002-11-22","2002"
"1296882","太阳背后","339","剧情","8","2002-09-12","2001"
"1296927","老大靠边闪2","2454","喜剧","6.7","2002-12-06","2002"
"1296949","巴黎浮世绘","1903","剧情","7.8","2000-11-15","2000"
"1296994","谁知道呢？","276","剧情","7.7","2001-10-04","2001"
"1297006","斯慕奇之死","917","喜剧","7.1","2002-03-29","2002"
"1297124","危险性游戏2","323","剧情","5.3","2000-11-09","2000"
"1297155","我要回家","167","剧情","7.3","2001-09-12","2001"
"1297187","刮痧","27682","剧情","7.5",,"2001"
"1297215","惊惧圣诞","46","剧情","6.6","2001-12-14","2001"
"1297244","黑虎的眼泪","178","喜剧","7.4","2000-10-05","2000"
"1297262","湖畔惊魂","33","剧情","7","2000-02-01","2000"
"1297287","意乱情迷","3498","剧情","7.2","2001-07-20","2001"
"1297329","追访有情人","498","剧情","7.1","2000-04-01","2000"
"1297363","薰衣草","14427","爱情","6.7","2001-02-08","2000"
"1297404","风中新娘","315","剧情","7.4","2001-06-08","2001"
"1297420","爱你爱我","1838","剧情","6.8","2001-06-20","2001"
"1297428","爱我别走","2780","剧情","8","2002-03-09","2002"
"1297462","宝贝喜临门","64","喜剧","6.8","2000-06-02","2000"
"1297493","自从他来了","970","剧情","6.4","2000-05-25","2000"
"1297521","绝命北极","44","动作","4.7","2001-08-28","2000"
"1297598","露西亚的情人","22773","剧情","7.6","2001-08-24","2001"
"1297604","少年特工科迪","2060","喜剧","6.2","2003-03-14","2003"
"1297605","尘世之间","1593","剧情","8","2002-11-17","2002"
"1297611","进化危机","12822","喜剧","6.8","2001-06-08","2001"
"1297619","欲望小镇","39","剧情","6.6","2000-09-08","2000"
"1297659","卢浮魅影","38447","悬疑","6.6","2001-04-04","2001"
